Accession	Source Database	Name	Tax ID	Tax Name	Length	Entry Accession	Matches
O13811	reviewed	Protein disulfide-isomerase C17H9.14c	284812	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	359	PF00085	29..126,142..247
O14095	reviewed	Thioredoxin domain-containing protein plp1	284812	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	279	PF00085	147..226
O14463	reviewed	Thioredoxin-1	284812	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	103	PF00085	6..100
O14530	reviewed	Thioredoxin domain-containing protein 9	9606	Homo sapiens	226	PF00085	79..162
O17486	reviewed	Thioredoxin	6210	Echinococcus granulosus	107	PF00085	7..104
O18883	reviewed	Thioredoxin domain-containing protein 9	9913	Bos taurus	226	PF00085	86..162
O22022	reviewed	Thioredoxin	280699	Cyanidioschyzon merolae (strain NIES-3377 / 10D)	102	PF00085	4..99
O22229	reviewed	NADPH-dependent thioredoxin reductase 3	3702	Arabidopsis thaliana	529	PF00085	441..526
O22263	reviewed	Protein disulfide-isomerase like 2-1	3702	Arabidopsis thaliana	361	PF00085	25..127,143..246
O22779	reviewed	Thioredoxin-like 1-3, chloroplastic	3702	Arabidopsis thaliana	273	PF00085	112..177
O23166	reviewed	Thioredoxin-like protein HCF164, chloroplastic	3702	Arabidopsis thaliana	261	PF00085	131..225
O30974	reviewed	Thioredoxin	1772	Mycolicibacterium smegmatis	112	PF00085	7..108
O32171	reviewed	Thioredoxin-like protein YusE	224308	Bacillus subtilis (strain 168)	106	PF00085	13..82
O34342	reviewed	SPbeta prophage-derived thioredoxin-like protein YosR	224308	Bacillus subtilis (strain 168)	80	PF00085	3..77
O34357	reviewed	Thioredoxin-like protein YtpP	224308	Bacillus subtilis (strain 168)	107	PF00085	7..101
O43396	reviewed	Thioredoxin-like protein 1	9606	Homo sapiens	289	PF00085	12..104
O48737	reviewed	Thioredoxin M1, chloroplastic	3702	Arabidopsis thaliana	179	PF00085	78..176
O48773	reviewed	Protein disulfide-isomerase 2-3	3702	Arabidopsis thaliana	440	PF00085	32..131,165..264
O48897	reviewed	Thioredoxin F-type, chloroplastic	3708	Brassica napus	182	PF00085	73..173
O51088	reviewed	Thioredoxin	224326	Borreliella burgdorferi (strain ATCC 35210 / DSM 4680 / CIP 102532 / B31)	117	PF00085	28..112
O51890	reviewed	Thioredoxin	198804	Buchnera aphidicola subsp. Schizaphis graminum (strain Sg)	108	PF00085	4..104
O55772	reviewed	Uncharacterized protein 196R	176652	Invertebrate iridescent virus 6	174	PF00085	31..124
O64394	reviewed	Thioredoxin H-type	4565	Triticum aestivum	127	PF00085	26..119
O64432	reviewed	Thioredoxin H-type	3711	Brassica campestris	123	PF00085	15..114
O64628	reviewed	Thioredoxin domain-containing protein 9 homolog	3702	Arabidopsis thaliana	211	PF00085	72..157
O64654	reviewed	Thioredoxin-like 1-1, chloroplastic	3702	Arabidopsis thaliana	275	PF00085	114..185
O64764	reviewed	Thioredoxin O1, mitochondrial	3702	Arabidopsis thaliana	194	PF00085	87..190
O65049	reviewed	Thioredoxin H-type	3335	Picea mariana	125	PF00085	15..107
O74790	reviewed	Monothiol glutaredoxin-4	284812	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	244	PF00085	6..102
O76003	reviewed	Glutaredoxin-3	9606	Homo sapiens	335	PF00085	21..112
O81332	reviewed	Thioredoxin F-type, chloroplastic	3544	Mesembryanthemum crystallinum	191	PF00085	100..186
O83889	reviewed	Thioredoxin	243276	Treponema pallidum (strain Nichols)	105	PF00085	10..102
O84544	reviewed	Thioredoxin	272561	Chlamydia trachomatis serovar D (strain ATCC VR-885 / DSM 19411 / UW-3/Cx)	102	PF00085	2..99
O94504	reviewed	Thioredoxin-2, mitochondrial	284812	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	133	PF00085	39..126
O96952	reviewed	Thioredoxin	6047	Geodia cydonium	106	PF00085	6..104
O97508	reviewed	Thioredoxin	9796	Equus caballus	105	PF00085	6..102
O97680	reviewed	Thioredoxin	9913	Bos taurus	105	PF00085	7..102
P00275	reviewed	Thioredoxin C-1	1722	Corynebacterium nephridii	105	PF00085	2..102
P04785	reviewed	Protein disulfide-isomerase	10116	Rattus norvegicus	509	PF00085	28..133,371..473
P05307	reviewed	Protein disulfide-isomerase	9913	Bos taurus	510	PF00085	28..133,371..473
P07237	reviewed	Protein disulfide-isomerase	9606	Homo sapiens	508	PF00085	26..131,369..471
P07591	reviewed	Thioredoxin M-type, chloroplastic	3562	Spinacia oleracea	181	PF00085	76..176
P07887	reviewed	Thioredoxin C-2	1722	Corynebacterium nephridii	108	PF00085	5..105
P08003	reviewed	Protein disulfide-isomerase A4	10090	Mus musculus	638	PF00085	57..158,172..272,520..626
P08058	reviewed	Thioredoxin	1063	Cereibacter sphaeroides	106	PF00085	3..103
P08628	reviewed	Thioredoxin	9986	Oryctolagus cuniculus	105	PF00085	6..102
P08629	reviewed	Thioredoxin	9031	Gallus gallus	105	PF00085	8..102
P09102	reviewed	Protein disulfide-isomerase	9031	Gallus gallus	515	PF00085	31..136,374..476
P09103	reviewed	Protein disulfide-isomerase	10090	Mus musculus	509	PF00085	28..133,371..473
P09856	reviewed	Thioredoxin F-type, chloroplastic	3562	Spinacia oleracea	190	PF00085	85..185
P09857	reviewed	Thioredoxin	1049	Allochromatium vinosum	107	PF00085	4..104
P0A0K4	reviewed	Thioredoxin	158878	Staphylococcus aureus (strain Mu50 / ATCC 700699)	104	PF00085	3..101
P0A0K5	reviewed	Thioredoxin	196620	Staphylococcus aureus (strain MW2)	104	PF00085	3..101
P0A0K6	reviewed	Thioredoxin	1280	Staphylococcus aureus	104	PF00085	3..101
P0A4L1	reviewed	Thioredoxin 1	103690	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)	107	PF00085	5..104
P0A4L2	reviewed	Thioredoxin 1	1168	Nostoc sp. (strain ATCC 29151 / PCC 7119)	107	PF00085	5..104
P0A4L3	reviewed	Thioredoxin	169963	Listeria monocytogenes serovar 1/2a (strain ATCC BAA-679 / EGD-e)	103	PF00085	2..100
P0A4L4	reviewed	Thioredoxin	272626	Listeria innocua serovar 6a (strain ATCC BAA-680 / CLIP 11262)	103	PF00085	2..100
P0A617	reviewed	Thioredoxin	233413	Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97)	116	PF00085	9..108
P0AA25	reviewed	Thioredoxin 1	83333	Escherichia coli (strain K12)	109	PF00085	5..105
P0AA26	reviewed	Thioredoxin 1	199310	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	109	PF00085	5..105
P0AA27	reviewed	Thioredoxin 1	83334	Escherichia coli O157:H7	109	PF00085	5..105
P0AA28	reviewed	Thioredoxin 1	99287	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	109	PF00085	5..105
P0AA29	reviewed	Thioredoxin 1	90370	Salmonella typhi	109	PF00085	5..105
P0AA30	reviewed	Thioredoxin 1	623	Shigella flexneri	109	PF00085	5..105
P0AGG4	reviewed	Thioredoxin 2	83333	Escherichia coli (strain K12)	139	PF00085	37..136
P0AGG5	reviewed	Thioredoxin 2	199310	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	139	PF00085	37..136
P0AGG6	reviewed	Thioredoxin 2	83334	Escherichia coli O157:H7	139	PF00085	37..136
P0AGG7	reviewed	Thioredoxin 2	623	Shigella flexneri	139	PF00085	37..136
P10472	reviewed	Thioredoxin	115852	Chlorobaculum thiosulfatiphilum	108	PF00085	6..105
P10473	reviewed	Thioredoxin	1085	Rhodospirillum rubrum	104	PF00085	2..101
P10599	reviewed	Thioredoxin	9606	Homo sapiens	105	PF00085	6..102
P10639	reviewed	Thioredoxin	10090	Mus musculus	105	PF00085	6..102
P11232	reviewed	Thioredoxin	10116	Rattus norvegicus	105	PF00085	6..102
P11598	reviewed	Protein disulfide-isomerase A3	10116	Rattus norvegicus	505	PF00085	27..130,378..481
P12243	reviewed	Thioredoxin 1	1140	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805)	107	PF00085	5..105
P12865	reviewed	Bloodstream-specific protein 2	5702	Trypanosoma brucei brucei	497	PF00085	22..120,357..451
P13667	reviewed	Protein disulfide-isomerase A4	9606	Homo sapiens	645	PF00085	64..165,179..279,527..632
P14949	reviewed	Thioredoxin	224308	Bacillus subtilis (strain 168)	104	PF00085	3..101
P17967	reviewed	Protein disulfide-isomerase	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	522	PF00085	34..136,378..482
P20857	reviewed	Thioredoxin 2	103690	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)	111	PF00085	5..105
P21195	reviewed	Protein disulfide-isomerase	9986	Oryctolagus cuniculus	509	PF00085	27..132,370..472
P21609	reviewed	Thioredoxin	1557	Peptoclostridium litorale	107	PF00085	3..101
P21610	reviewed	Thioredoxin	1731	Peptoclostridium acidaminophilum	110	PF00085	6..106
P22217	reviewed	Thioredoxin-1	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	103	PF00085	5..100
P22803	reviewed	Thioredoxin-2	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	104	PF00085	6..101
P23400	reviewed	Thioredoxin M-type, chloroplastic	3055	Chlamydomonas reinhardtii	140	PF00085	38..136
P25372	reviewed	Thioredoxin-3, mitochondrial	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	127	PF00085	31..125
P27773	reviewed	Protein disulfide-isomerase A3	10090	Mus musculus	505	PF00085	27..130,378..481
P29429	reviewed	Thioredoxin	227321	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	110	PF00085	11..106
P29445	reviewed	Thioredoxin-1	44689	Dictyostelium discoideum	105	PF00085	11..101
P29446	reviewed	Thioredoxin-2	44689	Dictyostelium discoideum	88	PF00085	7..87
P29447	reviewed	Thioredoxin-3	44689	Dictyostelium discoideum	104	PF00085	5..101
P29448	reviewed	Thioredoxin H1	3702	Arabidopsis thaliana	114	PF00085	10..110
P29449	reviewed	Thioredoxin H-type 1	4097	Nicotiana tabacum	126	PF00085	24..115
P29450	reviewed	Thioredoxin F-type, chloroplastic	3888	Pisum sativum	182	PF00085	77..177
P29451	reviewed	Thioredoxin	9544	Macaca mulatta	105	PF00085	6..102
P29828	reviewed	Protein disulfide-isomerase	3879	Medicago sativa	512	PF00085	35..141,379..482
P30101	reviewed	Protein disulfide-isomerase A3	9606	Homo sapiens	505	PF00085	27..130,378..481
P32474	reviewed	Protein disulfide-isomerase EUG1	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	517	PF00085	36..136,378..483
P32642	reviewed	Monothiol glutaredoxin-4	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	244	PF00085	8..100
P33791	reviewed	Thioredoxin	1894	Kitasatospora aureofaciens	106	PF00085	3..103
P34329	reviewed	Probable protein disulfide-isomerase A4	6239	Caenorhabditis elegans	618	PF00085	38..135,149..250,501..605
P34723	reviewed	Thioredoxin	5076	Penicillium chrysogenum	106	PF00085	8..102
P35088	reviewed	Thiol:disulfide interchange protein TxlA	1140	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805)	191	PF00085	47..144
P37395	reviewed	Thioredoxin	2771	Cyanidium caldarium	107	PF00085	5..105
P38657	reviewed	Protein disulfide-isomerase A3	9913	Bos taurus	505	PF00085	27..130,378..481
P38658	reviewed	Probable protein disulfide-isomerase ER-60	6183	Schistosoma mansoni	484	PF00085	19..120,360..463
P38659	reviewed	Protein disulfide-isomerase A4	10116	Rattus norvegicus	643	PF00085	62..163,177..277,526..631
P38660	reviewed	Protein disulfide-isomerase A6	10036	Mesocricetus auratus	439	PF00085	27..126,162..263
P38661	reviewed	Probable protein disulfide-isomerase A6	3879	Medicago sativa	364	PF00085	31..133,149..252
P40557	reviewed	ER-retained PMA1-suppressing protein 1	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	701	PF00085	37..137
P42115	reviewed	Thioredoxin	367110	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	127	PF00085	10..91
P43785	reviewed	Thioredoxin	71421	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	107	PF00085	4..104
P46843	reviewed	Bifunctional thioredoxin reductase/thioredoxin	272631	Mycobacterium leprae (strain TN)	458	PF00085	351..450
P47370	reviewed	Thioredoxin	243273	Mycoplasma genitalium (strain ATCC 33530 / DSM 19775 / NCTC 10195 / G37)	102	PF00085	12..99
P47938	reviewed	Thioredoxin-1	7227	Drosophila melanogaster	107	PF00085	6..102
P48384	reviewed	Thioredoxin M-type, chloroplastic	3888	Pisum sativum	172	PF00085	69..169
P50254	reviewed	Thioredoxin	2788	Neopyropia yezoensis	107	PF00085	3..103
P50338	reviewed	Thioredoxin	35689	Griffithsia pacifica	109	PF00085	5..103
P50413	reviewed	Thioredoxin	9940	Ovis aries	105	PF00085	7..102
P51225	reviewed	Thioredoxin	2787	Porphyra purpurea	107	PF00085	3..103
P52227	reviewed	Thioredoxin	227941	Chlamydia caviae (strain ATCC VR-813 / DSM 19441 / 03DC25 / GPIC)	102	PF00085	2..99
P52228	reviewed	Thioredoxin C-3	1722	Corynebacterium nephridii	145	PF00085	38..136
P52230	reviewed	Thioredoxin 1	100226	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)	110	PF00085	6..105
P52231	reviewed	Thioredoxin	1111708	Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa)	107	PF00085	6..104
P52232	reviewed	Thioredoxin-like protein slr0233	1111708	Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa)	105	PF00085	5..102
P52233	reviewed	Thioredoxin	1232575	Acidithiobacillus ferridurans	108	PF00085	6..105
P52588	reviewed	Protein disulfide-isomerase	4577	Zea mays	513	PF00085	36..142,380..482
P52589	reviewed	Protein disulfide-isomerase	4565	Triticum aestivum	515	PF00085	41..147,384..486
P54399	reviewed	Protein disulfide-isomerase	7227	Drosophila melanogaster	496	PF00085	29..130,369..470
P55059	reviewed	Protein disulfide-isomerase	34413	Humicola insolens	505	PF00085	23..122,357..461
P57653	reviewed	Thioredoxin	107806	Buchnera aphidicola subsp. Acyrthosiphon pisum (strain APS)	108	PF00085	4..104
P59527	reviewed	Thioredoxin	224915	Buchnera aphidicola subsp. Baizongia pistaciae (strain Bp)	109	PF00085	6..105
P60226	reviewed	Thioredoxin-1	7245	Drosophila yakuba	107	PF00085	6..102
P64808	reviewed	Uncharacterized protein Mb1359	233413	Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97)	304	PF00085	45..147
P66928	reviewed	Thioredoxin	85962	Helicobacter pylori (strain ATCC 700392 / 26695)	106	PF00085	5..102
P66929	reviewed	Thioredoxin	85963	Helicobacter pylori (strain J99 / ATCC 700824)	106	PF00085	5..102
P68176	reviewed	Thioredoxin H-type	3712	Brassica oleracea	123	PF00085	15..114
P68177	reviewed	Thioredoxin H-type 1	3708	Brassica napus	123	PF00085	15..114
P68569	reviewed	SPbeta prophage-derived disulfide bond formation protein A	224308	Bacillus subtilis (strain 168)	137	PF00085	35..132
P68570	reviewed	Disulfide bond formation protein A	2932878	Bacillus phage SPbeta	137	PF00085	35..132
P73263	reviewed	Thioredoxin-like protein slr1139	1111708	Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa)	109	PF00085	4..103
P73920	reviewed	Thiol:disulfide interchange protein TxlA homolog	1111708	Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa)	180	PF00085	52..139
P75512	reviewed	Thioredoxin	272634	Mycoplasma pneumoniae (strain ATCC 29342 / M129 / Subtype 1)	102	PF00085	15..101
P77395	reviewed	Chaperedoxin	83333	Escherichia coli (strain K12)	284	PF00085	6..107
P80028	reviewed	Thioredoxin H-type	3055	Chlamydomonas reinhardtii	113	PF00085	7..108
P80284	reviewed	Protein disulfide-isomerase	4513	Hordeum vulgare	513	PF00085	40..146,383..485
P80579	reviewed	Thioredoxin	1388	Alicyclobacillus acidocaldarius subsp. acidocaldarius	105	PF00085	2..101
P81108	reviewed	Thioredoxin	1509	Clostridium sporogenes	40	PF00085	2..39
P81109	reviewed	Thioredoxin	499177	Acetoanaerobium sticklandii (strain ATCC 12662 / DSM 519 / JCM 1433 / CCUG 9281 / NCIMB 10654 / HF)	105	PF00085	3..100
P81110	reviewed	Thioredoxin	79681	Tissierella creatinophila	44	PF00085	2..42
P82460	reviewed	Thioredoxin	9823	Sus scrofa	105	PF00085	7..102
P85801	reviewed	Thioredoxin H-type	640484	Populus jackii	139	PF00085	29..128
P87178	reviewed	Uncharacterized protein C3D6.13c	284812	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	726	PF00085	30..129,292..381
P90666	reviewed	Thioredoxin domain-containing protein 3 homolog	1043166	Heliocidaris crassispina	837	PF00085	14..107
P92979	reviewed	5'-adenylylsulfate reductase 1, chloroplastic	3702	Arabidopsis thaliana	465	PF00085	369..461
P92980	reviewed	5'-adenylylsulfate reductase 3, chloroplastic	3702	Arabidopsis thaliana	458	PF00085	362..454
P92981	reviewed	5'-adenylylsulfate reductase 2, chloroplastic	3702	Arabidopsis thaliana	454	PF00085	358..450
P96132	reviewed	Thioredoxin	1058	Thiocapsa roseopersicina	91	PF00085	5..87
P96611	reviewed	Thioredoxin-like protein YdbP	224308	Bacillus subtilis (strain 168)	106	PF00085	4..92
P96695	reviewed	Thioredoxin-like protein YdfQ	224308	Bacillus subtilis (strain 168)	112	PF00085	15..87
P97493	reviewed	Thioredoxin, mitochondrial	10090	Mus musculus	166	PF00085	68..163
P97615	reviewed	Thioredoxin, mitochondrial	10116	Rattus norvegicus	166	PF00085	68..163
P99122	reviewed	Thioredoxin	158879	Staphylococcus aureus (strain N315)	104	PF00085	3..101
P9WG60	reviewed	Uncharacterized protein MT1366	83331	Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh)	304	PF00085	45..147
P9WG61	reviewed	Uncharacterized protein Rv1324	83332	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	304	PF00085	45..147
P9WG66	reviewed	Thioredoxin	83331	Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh)	116	PF00085	9..108
P9WG67	reviewed	Thioredoxin	83332	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	116	PF00085	9..108
Q00002	reviewed	Protein disulfide-isomerase	5599	Alternaria alternata	436	PF00085	238..302
Q00216	reviewed	Protein disulfide-isomerase tigA	5061	Aspergillus niger	359	PF00085	21..125,142..246
Q00248	reviewed	Protein disulfide-isomerase	510516	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	515	PF00085	31..130,366..467
Q03835	reviewed	Monothiol glutaredoxin-3	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	250	PF00085	16..100
Q05739	reviewed	Thioredoxin	1901	Streptomyces clavuligerus	107	PF00085	6..100
Q07090	reviewed	Thioredoxin H-type 2	4097	Nicotiana tabacum	118	PF00085	10..109
Q09433	reviewed	Thioredoxin-1	6239	Caenorhabditis elegans	115	PF00085	14..108
Q0D840	reviewed	Thioredoxin H1	39947	Oryza sativa subsp. japonica	122	PF00085	9..109
Q0DKF1	reviewed	Thioredoxin H4-2	39947	Oryza sativa subsp. japonica	132	PF00085	26..126
Q0E0I1	reviewed	Protein disulfide isomerase-like 5-3	39947	Oryza sativa subsp. japonica	425	PF00085	48..149
Q0IHI1	reviewed	Thioredoxin domain-containing protein 15	8355	Xenopus laevis	342	PF00085	189..273
Q0IWL9	reviewed	Monothiol glutaredoxin-S11	39947	Oryza sativa subsp. japonica	491	PF00085	22..102
Q0J9V5	reviewed	Thioredoxin-like protein CXXS1	39947	Oryza sativa subsp. japonica	133	PF00085	16..116
Q0JD42	reviewed	Protein disulfide isomerase-like 5-2	39947	Oryza sativa subsp. japonica	423	PF00085	44..145
Q0Z7W6	reviewed	Thioredoxin-related transmembrane protein 1	9913	Bos taurus	278	PF00085	31..128
Q10057	reviewed	Putative protein disulfide-isomerase C1F5.02	284812	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	492	PF00085	26..124,358..459
Q10M18	reviewed	Thioredoxin-like 1-2, chloroplastic	39947	Oryza sativa subsp. japonica	279	PF00085	111..178
Q10N04	reviewed	Protein disulfide isomerase-like 5-1	39947	Oryza sativa subsp. japonica	147	PF00085	31..133
Q11067	reviewed	Protein disulfide-isomerase A6 homolog	6239	Caenorhabditis elegans	440	PF00085	26..126,166..268
Q11183	reviewed	Thioredoxin domain-containing protein 9	6239	Caenorhabditis elegans	208	PF00085	73..156
Q12404	reviewed	Protein disulfide-isomerase MPD1	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	318	PF00085	32..114
Q12730	reviewed	Protein disulfide-isomerase	5061	Aspergillus niger	515	PF00085	27..126,362..467
Q13087	reviewed	Protein disulfide-isomerase A2	9606	Homo sapiens	525	PF00085	58..148,390..492
Q14554	reviewed	Protein disulfide-isomerase A5	9606	Homo sapiens	519	PF00085	157..257,278..378,399..502
Q15084	reviewed	Protein disulfide-isomerase A6	9606	Homo sapiens	440	PF00085	27..126,162..263
Q17424	reviewed	Probable thioredoxin-2	6239	Caenorhabditis elegans	145	PF00085	45..140
Q17688	reviewed	Endoplasmic reticulum resident protein 44.2	6239	Caenorhabditis elegans	413	PF00085	29..132
Q17770	reviewed	Protein disulfide-isomerase 2	6239	Caenorhabditis elegans	493	PF00085	25..127,365..466
Q17967	reviewed	Protein disulfide-isomerase 1	6239	Caenorhabditis elegans	485	PF00085	25..127,365..466
Q18484	reviewed	Thioredoxin-related transmembrane protein 2 homolog	6239	Caenorhabditis elegans	265	PF00085	134..218
Q197B9	reviewed	Putative thioredoxin-like protein 041R	345201	Invertebrate iridescent virus 3	129	PF00085	33..128
Q1RKN1	reviewed	Thioredoxin	336407	Rickettsia bellii (strain RML369-C)	105	PF00085	4..102
Q1RQI9	reviewed	Thioredoxin	76777	Malassezia sympodialis	105	PF00085	8..101
Q1RQJ0	reviewed	Thioredoxin Asp f 29	746128	Aspergillus fumigatus	110	PF00085	8..106
Q1RQJ1	reviewed	Thioredoxin Asp f 28	746128	Aspergillus fumigatus	108	PF00085	20..104
Q1ZXE0	reviewed	Putative thioredoxin-4	44689	Dictyostelium discoideum	104	PF00085	15..101
Q28ID3	reviewed	Glutaredoxin-3	8364	Xenopus tropicalis	326	PF00085	11..101
Q29RV1	reviewed	Protein disulfide-isomerase A4	9913	Bos taurus	643	PF00085	63..164,178..278,525..630
Q2FHT6	reviewed	Thioredoxin	367830	Staphylococcus aureus (strain USA300)	104	PF00085	3..101
Q2FZD2	reviewed	Thioredoxin	93061	Staphylococcus aureus (strain NCTC 8325 / PS 47)	104	PF00085	3..101
Q2HWU2	reviewed	Protein disulfide-isomerase	9543	Macaca fuscata fuscata	510	PF00085	28..133,371..473
Q2KIL5	reviewed	Protein disulfide-isomerase A5	9913	Bos taurus	521	PF00085	157..259,280..381,401..503
Q2QP53	reviewed	5'-adenylylsulfate reductase-like 6	39947	Oryza sativa subsp. japonica	300	PF00085	66..157
Q2TBU2	reviewed	Thioredoxin-related transmembrane protein 2	9913	Bos taurus	296	PF00085	141..230
Q2YXD0	reviewed	Thioredoxin	273036	Staphylococcus aureus (strain bovine RF122 / ET3-1)	104	PF00085	3..101
Q38879	reviewed	Thioredoxin H2	3702	Arabidopsis thaliana	133	PF00085	40..129
Q39239	reviewed	Thioredoxin H4	3702	Arabidopsis thaliana	119	PF00085	14..110
Q39241	reviewed	Thioredoxin H5	3702	Arabidopsis thaliana	118	PF00085	9..108
Q39362	reviewed	Thioredoxin H-type 2	3708	Brassica napus	119	PF00085	25..111
Q39591	reviewed	Dynein 14 kDa light chain, flagellar outer arm	3055	Chlamydomonas reinhardtii	129	PF00085	8..101
Q39592	reviewed	Dynein 16 kDa light chain, flagellar outer arm	3055	Chlamydomonas reinhardtii	156	PF00085	14..109
Q3T0L2	reviewed	Endoplasmic reticulum resident protein 44	9913	Bos taurus	406	PF00085	32..137
Q3TMX7	reviewed	Sulfhydryl oxidase 2	10090	Mus musculus	692	PF00085	71..143
Q41864	reviewed	Thioredoxin M-type, chloroplastic	4577	Zea mays	167	PF00085	61..161
Q42403	reviewed	Thioredoxin H3	3702	Arabidopsis thaliana	118	PF00085	9..109
Q43116	reviewed	Protein disulfide-isomerase	3988	Ricinus communis	498	PF00085	34..140,378..481
Q43636	reviewed	Thioredoxin H-type	3988	Ricinus communis	118	PF00085	11..110
Q44856	reviewed	Disulfide bond formation protein	54911	Brevibacillus choshinensis	118	PF00085	27..115
Q498R3	reviewed	DnaJ homolog subfamily C member 10	10116	Rattus norvegicus	793	PF00085	131..229,466..551,558..643,674..758
Q49WR2	reviewed	Thioredoxin	342451	Staphylococcus saprophyticus subsp. saprophyticus (strain ATCC 15305 / DSM 20229 / NCIMB 8711 / NCTC 7292 / S-41)	104	PF00085	3..102
Q4L5F0	reviewed	Thioredoxin	279808	Staphylococcus haemolyticus (strain JCSC1435)	104	PF00085	3..101
Q4N4N8	reviewed	Thioredoxin domain-containing protein	5875	Theileria parva	220	PF00085	33..134
Q4R5B4	reviewed	Thioredoxin-related transmembrane protein 2	9541	Macaca fascicularis	296	PF00085	140..230
Q4UNK3	reviewed	Thioredoxin	315456	Rickettsia felis (strain ATCC VR-1525 / URRWXCal2)	105	PF00085	4..103
Q4VIT4	reviewed	Protein disulfide-isomerase A3	9534	Chlorocebus aethiops	505	PF00085	27..130,378..481
